"id","equip_id","equip_type","equip_name","equip_field","guksa_name","up_down","link_equip_id","link_equip_type","link_equip_name","link_equip_field","link_guksa_name","link_name","cable_aroot","cable_broot"
49,하당-MSPP-L-0706-01-01,MSPP,하당-MSPP-L-0706-01-01,전송,하당,down,도초중-MSPP-0306-05-02_도초중-10R-M001,MSPP,도초중-MSPP-0306-05-02_도초중-10R-M001,전송,도초중,하당-도초중-S64-SA01,"대불-하당-FO-0004(89,90)|대불-모밀R1-FO-0003(19,20)|모밀R1-모밀R1-SF-0115(1,2)|마천R2-마천R2-SF-0037(1,2)|마천R2-JNWN화원한전-SF-0039(1,2)|JNWN화원한전-JNYE안좌한전-MF-KTF-0102(7,19)|읍동R1-JNYE안좌한전-SF-0475(1)|읍동R1-읍동R1-SF-0472(17)|읍동R1-읍동R1-SF-0471(7,8)|비금R1-비금R1-SF-0722(71,72)|비금R1-죽림R2-FO-0002(3,4)|수항R1-죽림R2-FO-0002(11,12)|도초중-수항R1-FO-0002(9,10)","동목포-하당-FO-0006(027,028)|동목포-수연R1-FO-0001(055,056)|수연R1-압해R1-FO-0003(007,008)|송공R1-압해R1-FO-0003(061,062)|송공R1-신석R1-FO-0001(061,062)|신석R1-암태R1-FO-0003(007,008)|암태R1-읍동R1-FO-0002(035,036)|읍동R1-읍동R1-SF-0471(007,008)|비금R1-비금R1-SF-0722(071,072)|비금R1-죽림R2-FO-0003(033,034)|수항R1-죽림R2-FO-0001(005,006)|도초중-수항R1-FO-0003(001,002)"""
79,하당-MSPP-L-0706-01-01,MSPP,하당-MSPP-L-0706-01-01,전송,하당,down,비금R1-MSPP-0202-01-01_도초중-10R-M001,MSPP,비금R1-MSPP-0202-01-01_도초중-10R-M001,전송,비금R1,하당-비금R1-10-SA02,"동목포-하당-FO-0006(27,28)|동목포-수연R1-FO-0001(55,56)|수연R1-압해R1-FO-0003(7,8)|송공R1-압해R1-FO-0003(61,62)|송공R1-신석R1-FO-0001(61,62)|신석R1-암태R1-FO-0003(7,8)|암태R1-읍동R1-FO-0002(33,34)|읍동R1-읍동R1-SF-0471(7,8)|비금R1-비금R1-SF-0722(71,72)","대불-하당-FO-0004(089,090)|대불-모밀R1-FO-0003(019,020)|모밀R1-모밀R1-SF-0115(001,002)|마천R2-마천R2-SF-0037(001,002)|마천R2-JNWN화원한전-SF-0039(001,002)|JNWN화원한전-JNYE안좌한전-MF-KTF(0102,007,019)|읍동R1-JNYE안좌한전-SF-0475(001)|읍동R1-읍동R1-SF-0472(017)"""
77,하당-MSPP-L-0706-01-01,MSPP,하당-MSPP-L-0706-01-01,전송,하당,down,읍동R1-MSPP-L-1101-02-02,MSPP,읍동R1-MSPP-L-1101-02-02,전송,읍동R1,하당-읍동R1-10R-SA04,"동목포-하당-FO-0006(27,28)|동목포-수연R1-FO-0001(55,56)|수연R1-압해R1-FO-0003(7,8)|송공R1-압해R1-FO-0003(61,62)|송공R1-신석R1-FO-0001(61,62)|신석R1-암태R1-FO-0003(7,8)|암태R1-읍동R1-FO-0001(37,38)","대불-하당-FO-0004(089,090)|대불-모밀R1-FO-0003(019,020)|모밀R1-모밀R1-SF-0115(001,002)|마천R2-마천R2-SF-0037(001,002)|마천R2-JNWN화원한전-SF-0039(001,002)|JNWN화원한전-JNYE안좌한전-MF-KTF(0102,007,019)|읍동R1-JNYE안좌한전-SF-0475(001)|읍동R1-읍동R1-SF-0472(017)"""
146,하당-MSPP-L-0804-02-02-#8,MSPP,하당-MSPP-L-0804-02-02-#8,전송,하당,down,해남-MSPP-L-0805-01-01-#2,MSPP,해남-MSPP-L-0805-01-01-#2,전송,해남,하당-해남-10R-LL13,"진도-하당-FO-D002(37,38)|진도-해남-FO-D004(33,34)","하당-일로R1-FO-0002(021,022)|일로R1-학산R2-FO-0001(051,052)|영암-학산R2-FO-0001(045,046)|영암-장흥-FO-D001(011,012)|강진-장흥-FO-D003(043,044)|강진-해남-FO-D003(017,018)"""
48,하당-MSPP-L-0807-01-01-#11_LTE용,MSPP,하당-MSPP-L-0807-01-01-#11_LTE용,전송,하당,down,도초중-MSPP-0306-05-02_도초중-10R-M001,MSPP,도초중-MSPP-0306-05-02_도초중-10R-M001,전송,도초중,하당-도초중-S64-SA02,"대불-하당-FO-0004(89,90)|대불-모밀R1-FO-0003(19,20)|모밀R1-모밀R1-SF-0115(1,2)|마천R2-마천R2-SF-0037(1,2)|마천R2-JNWN화원한전-SF-0039(1,2)|JNWN화원한전-JNYE안좌한전-MF-KTF-0102(7,19)|읍동R1-JNYE안좌한전-SF-0475(1)|읍동R1-읍동R1-SF-0472(17)|읍동R1-읍동R1-SF-0471(7,8)|비금R1-비금R1-SF-0722(71,72)|비금R1-죽림R2-FO-0002(13,14)|수항R1-죽림R2-FO-0002(33,34)|도초중-수항R1-FO-0002(19,20)","동목포-하당-FO-0006(027,028)|동목포-수연R1-FO-0001(055,056)|수연R1-압해R1-FO-0003(007,008)|송공R1-압해R1-FO-0003(061,062)|송공R1-신석R1-FO-0001(061,062)|신석R1-암태R1-FO-0003(007,008)|암태R1-읍동R1-FO-0002(037,038)|읍동R1-읍동R1-SF-0471(007,008)|비금R1-비금R1-SF-0722(071,072)|비금R1-죽림R2-FO-0003(037,038)|수항R1-죽림R2-FO-0001(001,002)|도초중-수항R1-FO-0002(019,020)"""
74,하당-MSPP-L-0807-02-02-#12,MSPP,하당-MSPP-L-0807-02-02-#12,전송,하당,down,읍동R1-MSPP-L-1101-02-02,MSPP,읍동R1-MSPP-L-1101-02-02,전송,읍동R1,하당-읍동R1-S64-SA02,"동목포-하당-FO-0006(27,28)|동목포-수연R1-FO-0001(55,56)|수연R1-압해R1-FO-0003(7,8)|송공R1-압해R1-FO-0003(61,62)|송공R1-신석R1-FO-0001(61,62)|신석R1-암태R1-FO-0003(7,8)|암태R1-읍동R1-FO-0001(19,20)","대불-하당-FO-0004(089,090)|대불-모밀R1-FO-0003(019,020)|모밀R1-모밀R1-SF-0115(001,002)|마천R2-마천R2-SF-0037(001,002)|마천R2-JNWN화원한전-SF-0039(001,002)|JNWN화원한전-JNYE안좌한전-MF-KTF(0102,007,019)|읍동R1-JNYE안좌한전-SF-0475(001)|읍동R1-읍동R1-SF-0472(017)"""
75,하당-MSPP-L-0809-01-01-#1(한전임대광),MSPP,하당-MSPP-L-0809-01-01-#1(한전임대광),전송,하당,down,읍동R1-MSPP-L-1101-02-02,MSPP,읍동R1-MSPP-L-1101-02-02,전송,읍동R1,하당-읍동R1-10R-SA02,"동목포-하당-FO-0006(27,28)|동목포-수연R1-FO-0001(55,56)|수연R1-압해R1-FO-0003(7,8)|송공R1-압해R1-FO-0003(61,62)|송공R1-신석R1-FO-0001(61,62)|신석R1-암태R1-FO-0003(7,8)|암태R1-읍동R1-FO-0001(33,34)","대불-하당-FO-0004(089,090)|대불-모밀R1-FO-0003(019,020)|모밀R1-모밀R1-SF-0115(001,002)|마천R2-마천R2-SF-0037(001,002)|마천R2-JNWN화원한전-SF-0039(001,002)|JNWN화원한전-JNYE안좌한전-MF-KTF(0102,007,019)|읍동R1-JNYE안좌한전-SF-0475(001)|읍동R1-읍동R1-SF-0472(017)"""
80,하당-MSPP-L-0809-01-01-#1(한전임대광),MSPP,하당-MSPP-L-0809-01-01-#1(한전임대광),전송,하당,down,읍동R1-MSPP-L-1101-02-02,MSPP,읍동R1-MSPP-L-1101-02-02,전송,읍동R1,하당-읍동R1-S64-SA01,"동목포-하당-FO-0006(27,28)|동목포-수연R1-FO-0001(55,56)|수연R1-압해R1-FO-0003(7,8)|송공R1-압해R1-FO-0003(61,62)|송공R1-신석R1-FO-0001(61,62)|신석R1-암태R1-FO-0003(7,8)|암태R1-팔금R2-FO-0001(23,27)|읍동R1-팔금R2-FO-0002(11,30)","대불-하당-FO-0004(089,090)|대불-모밀R1-FO-0003(019,020)|모밀R1-모밀R1-SF-0115(001,002)|마천R2-마천R2-SF-0037(001,002)|마천R2-JNWN화원한전-SF-0039(001,002)|JNWN화원한전-JNYE안좌한전-MF-KTF(0102,007,019)|읍동R1-JNYE안좌한전-SF-0475(001)|읍동R1-읍동R1-SF-0472(017)"""
148,하당-MSPP-L-0809-02-02,MSPP,하당-MSPP-L-0809-02-02,전송,하당,down,해남-MSPP-L-0805-01-01-#2,MSPP,해남-MSPP-L-0805-01-01-#2,전송,해남,하당-해남-S1-DM01,"하당-일로R1-FO-0002(71,72)|일로R1-학산R2-FO-0001(39,40)|해남-학산R2-FO-0001(7,8)","대불-하당-FO-0002(019,020)|대불-모밀R1-FO-0003(009,010)|모밀R1-모밀R1-SF-0115(003,002)|마천R2-마천R2-SF-0037(003,004)|당포R2-마천R2-FO-0002(031,032)|당포R2-인지R1-FO-0002(043,044)|석호R1-인지R1-FO-0002(007,008)|문내R1-석호R1-FO-0002(025,026)|문내R1-성만R1-FO-0003(033,034)|성만R1-황산R2-FO-0003(045,046)|와등R1-황산R2-FO-0001(025,026)|해남-와등R1-FO-0002(017,018)"""
440,하수치_통합형-0101-01_IP-20F-11G-(1/2),IP-20,하수치_통합형-0101-01_IP-20F-11G-(1/2),MW,하수R1,up,안좌중_통합형-0103-05_IP-20F-11G-(1/2),IP-20,안좌중_통합형-0103-05_IP-20F-11G-(1/2),MW,안좌중,안좌중-하수R1-MW-20F1MR,"","
"
