id	sector	guksa_id	equip_type	equip_model	equip_name	equip_id
12369	MW	623	SMR	SMR9600	하태도_SMR9-0101_SMR9600-6GL-(P/1/2/3)	하태도_SMR9-0101_SMR9600-6GL-(P/1/2/3) 
12370	MW	542	SMR	SMR9600	가거도_SMR9-0101_SMR9600-6GL-(P/1/2/3)	가거도_SMR9-0101_SMR9600-6GL-(P/1/2/3) 
12371	MW	628	CDM	CDM-SMR	흑산도_CDM-0305_CDM-SMR-6GL-(1/P/2/3)	흑산도_CDM-0305_CDM-SMR-6GL-(1/P/2/3) 
12372	MW	623	CDM	CDM-SMR	하태도_CDM-0106_CDM-SMR-6GL-(1/P/2/3)	하태도_CDM-0106_CDM-SMR-6GL-(1/P/2/3) 
12373	MW	889	ECLIPSE	ECLIPSE-INUe	가사도_MDM-0201_ECLIPSE-INUe-8G-(1///2)	가사도_MDM-0201_ECLIPSE-INUe-8G-(1///2) 
12374	MW	935	ECLIPSE	ECLIPSE-INUe	진도중_MDM-0201_ECLIPSE-INUe-8G-(1///2)	진도중_MDM-0201_ECLIPSE-INUe-8G-(1///2) 
12375	MW	914	SMR	SMR9600	상조도_SMR9-0104_SMR9600-6GL-(P/1)	상조도_SMR9-0104_SMR9600-6GL-(P/1) 
12376	MW	935	SMR	SMR9600	진도중_SMR9-0301_SMR9600-6GL-(P/1)	진도중_SMR9-0301_SMR9600-6GL-(P/1) 
12377	MW	935	CDM	CDM-SMR	진도중_CDM-0104_CDM-SMR-6GL-(1/P/2/3)	진도중_CDM-0104_CDM-SMR-6GL-(1/P/2/3) 
12378	MW	558	IP-20	IP-20C	도초중_통합형-0206-02_IP-20C-11G-(3/4)	도초중_통합형-0206-02_IP-20C-11G-(3/4) 
12379	MW	558	IP-20	IP-20C	도초중_통합형-0206-01_IP-20C-11G-(1/2)	도초중_통합형-0206-01_IP-20C-11G-(1/2) 
12380	MW	589	IP-20	IP-20C	안좌중_통합형-0103-01_IP-20C-11G-(1/2)	안좌중_통합형-0103-01_IP-20C-11G-(1/2) 
12381	MW	589	IP-20	IP-20C	안좌중_통합형-0103-02_IP-20C-11G-(3/4)	안좌중_통합형-0103-02_IP-20C-11G-(3/4) 
12382	MW	558	IP-20	IP-20C	도초중_통합형-0106-01_IP-20C-11G-(1/2)	도초중_통합형-0106-01_IP-20C-11G-(1/2) 
12383	MW	622	IP-20	IP-20C	하의도_통합형-0101-01_IP-20C-11G-(1/2)	하의도_통합형-0101-01_IP-20C-11G-(1/2) 
12384	MW	935	IP-20	IP-20C	진도중_통합형-0402-03_IP-20C-6GU-(1/2)	진도중_통합형-0402-03_IP-20C-6GU-(1/2) 
12385	MW	1109	IP-20	IP-20C	하조도_통합형-0107-01_IP-20C-6GU-(1/2)	하조도_통합형-0107-01_IP-20C-6GU-(1/2) 
12386	MW	589	IP-20	IP-20C	안좌중_통합형-0109-01_IP-20C-6GU-(1/2)	안좌중_통합형-0109-01_IP-20C-6GU-(1/2) 
12387	MW	588	IP-20	IP-20C	신의도_통합형-0102-01_IP-20C-6GU-(1/2)	신의도_통합형-0102-01_IP-20C-6GU-(1/2) 
12388	MW	558	CDM	CDM-SMR-IP	도초중_CDM-0302_CDM-SMR-IP-8G-(1/2)	도초중_CDM-0302_CDM-SMR-IP-8G-(1/2) 
12389	MW	622	CDM	CDM-SMR-IP	하의도_CDM-0104_CDM-SMR-IP-8G-(1/2)	하의도_CDM-0104_CDM-SMR-IP-8G-(1/2) 
12390	MW	589	IP-20	IP-20C	안좌중_통합형-0103-03_IP-20C-11G-(1/2)	안좌중_통합형-0103-03_IP-20C-11G-(1/2) 
12391	MW	609	IP-20	IP-20C	장산도_통합형-0105-03_IP-20C-11G-(1/2)	장산도_통합형-0105-03_IP-20C-11G-(1/2) 
12392	MW	927	ECLIPSE	ECLIPSE-INUe	접도_MDM-0101_ECLIPSE-INUe-8G-(1///2)	접도_MDM-0101_ECLIPSE-INUe-8G-(1///2) 
12393	MW	937	ECLIPSE	ECLIPSE-INUe	청등도_MDM-0101_ECLIPSE-INUe-8G-(1///2)	청등도_MDM-0101_ECLIPSE-INUe-8G-(1///2) 
12394	MW	935	IP-20	IP-20N	진도중_통합형-0402-02_IP-20N-8G-(1/2/3/4)	진도중_통합형-0402-02_IP-20N-8G-(1/2/3/4) 
12395	MW	589	IP-20	IP-20C	안좌중_통합형-0103-04_IP-20C-11G-(3/4)	안좌중_통합형-0103-04_IP-20C-11G-(3/4) 
12396	MW	609	IP-20	IP-20C	장산도_통합형-0105-04_IP-20C-11G-(3/4)	장산도_통합형-0105-04_IP-20C-11G-(3/4) 
12397	MW	914	IP-20	IP-20N	상조도_통합형-0301-03_IP-20N-8G-(1/2/3/4)	상조도_통합형-0301-03_IP-20N-8G-(1/2/3/4) 
12398	MW	935	IP-20	IP-20N	진도중_통합형-0402-01_IP-20N-8G-(1/2/3//5/6)	진도중_통합형-0402-01_IP-20N-8G-(1/2/3//5/6) 
12399	MW	1109	IP-20	IP-20N	하조도_통합형-0108-01_IP-20N-8G-(1/2/3//5/6)	하조도_통합형-0108-01_IP-20N-8G-(1/2/3//5/6) 
12400	MW	927	IP-20	IP-20N	접도_통합형-0103-02_IP-20N-8G-(1/2)	접도_통합형-0103-02_IP-20N-8G-(1/2) 
12401	MW	932	IP-20	IP-20N	죽항도_통합형-0101-02_IP-20N-8G-(1/2)	죽항도_통합형-0101-02_IP-20N-8G-(1/2) 
12402	MW	592	IP-20	IP-20N	양을중_통합형-0507-01_IP-20N-8G-(1/2/3/4)	양을중_통합형-0507-01_IP-20N-8G-(1/2/3/4) 
12403	MW	558	IP-20	IP-20N	도초중_통합형-0205-01_IP-20N-8G-(1/2/3/4)	도초중_통합형-0205-01_IP-20N-8G-(1/2/3/4) 
12404	MW	592	IP-20	IP-20N	양을중_통합형-0509-01_IP-20N-8G-(1/2/3/4)	양을중_통합형-0509-01_IP-20N-8G-(1/2/3/4) 
12405	MW	558	IP-20	IP-20N	도초중_통합형-0204-01_IP-20N-8G-(1/2/3/4)	도초중_통합형-0204-01_IP-20N-8G-(1/2/3/4) 
12406	MW	628	IP-20	IP-20N	흑산도_톨합형-0310-01_IP-20N-11G-(1/2/3)	흑산도_톨합형-0310-01_IP-20N-11G-(1/2/3) 
12407	MW	549	IP-20	IP-20N	다물도_통합형-0102-01_IP-20N-8G-(1/2/3)	다물도_통합형-0102-01_IP-20N-8G-(1/2/3) 
12408	MW	628	IP-20	IP-20N	흑산도_톨합형-0301-01_IP-20N-8G-(1/2/3/4)	흑산도_톨합형-0301-01_IP-20N-8G-(1/2/3/4) 
12409	MW	558	IP-20	IP-20N	도초중_통합형-0110-01_IP-20N-8G-(1/2/3/4)	도초중_통합형-0110-01_IP-20N-8G-(1/2/3/4) 
12410	MW	628	IP-20	IP-20N	흑산도_톨합형-0311-01_IP-20N-8G-(1/2/3/4/5)	흑산도_톨합형-0311-01_IP-20N-8G-(1/2/3/4/5) 
